kortti,kunto,harvinaisuus,setti,hinta_eur,varastossa_kpl,myynnissa_kpl
Cradily Lv.49 21/146 Reverse Holo - Diamond & Pearl Legends Awakened,DMG,Rare,Diamond & Pearl Legends Awakened,1.4,1,1
Cradily Lv.49 21/146 Reverse Holo - Diamond & Pearl Legends Awakened,NM/M,Rare,Diamond & Pearl Legends Awakened,5.5,0,0
Cradily δ Delta Species 2/110 - Ex Holon Phantoms,LP,Holo Rare,Ex Holon Phantoms,8.75,3,3
Cradily δ Delta Species 2/110 - Ex Holon Phantoms,NM/M,Holo Rare,Ex Holon Phantoms,24.95,0,0
Cradily δ Delta Species 2/110 Reverse Holo - Ex Holon Phantoms,GD,Holo Rare,Ex Holon Phantoms,17.2,1,1
Cradily δ Delta Species 2/110 Reverse Holo - Ex Holon Phantoms,NM/M,Holo Rare,Ex Holon Phantoms,42.95,0,0
Cram-o-matic 229/264 - Sword & Shield Fusion Strike,NM/M,Uncommon,Sword & Shield Fusion Strike,0.5,20,20
Cram-o-matic Reverse Holo 229/264 - Sword & Shield Fusion Strike,NM/M,Uncommon,Sword & Shield Fusion Strike,1.5,0,0
Cramorant 050/196 - Sword & Shield Lost Origin,NM/M,Rare,Sword & Shield Lost Origin,0.5,4,4
Cramorant 050/196 Reverse Holo - Sword & Shield Lost Origin,NM/M,Rare,Sword & Shield Lost Origin,0.75,0,0
Cramorant 051/192 Reverse Holo - Sword & Shield Rebel Clash,NM/M,Rare,Sword & Shield Rebel Clash,1.5,0,0
Cramorant 176/167 - Scarlet & Violet Twilight Masquerade,EX,Illustration Rare,Scarlet & Violet Twilight Masquerade,5.2,1,1
Cramorant 176/167 - Scarlet & Violet Twilight Masquerade,NM/M,Illustration Rare,Scarlet & Violet Twilight Masquerade,6.5,2,2
Cramorant 176/167 - Scarlet & Violet Twilight Masquerade,PL,Illustration Rare,Scarlet & Violet Twilight Masquerade,3.25,1,1
Cramorant 51/192 - Sword & Shield Rebel Clash,NM/M,Rare,Sword & Shield Rebel Clash,0.75,0,0
Cramorant 62/202 - Sword & Shield (Base Set),NM/M,Rare,Sword & Shield (Base Set),1,0,0
Cramorant 62/202 Reverse Holo - Sword & Shield (Base Set),NM/M,Rare,Sword & Shield (Base Set),1.5,0,0
Cramorant SV30/SV122 - Shining Fates,EX,Shiny Rare,Shining Fates,3.6,2,2
Cramorant SV30/SV122 - Shining Fates,LP,Shiny Rare,Shining Fates,2.7,2,2
Cramorant SV30/SV122 - Shining Fates,NM/M,Shiny Rare,Shining Fates,4.5,0,0
Cramorant V 086/307 - SWSH Black Star Promos,NM/M,Promo,SWSH Black Star Promos,4.25,1,1
Cramorant V 155/202 - Sword & Shield,EX,Ultra Rare,Sword & Shield (Base Set),3,3,3
Cramorant V 155/202 - Sword & Shield,NM/M,Ultra Rare,Sword & Shield,3.75,4,4
Cramorant V 155/202 - Sword & Shield (Base Set),EX,Ultra Rare,Sword & Shield (Base Set),4.7,2,2
Cramorant V 155/202 - Sword & Shield (Base Set),LP,Ultra Rare,Sword & Shield (Base Set),4.1,1,1
Cramorant V 155/202 - Sword & Shield (Base Set),NM/M,Ultra Rare,Sword & Shield (Base Set),5,4,4
Cramorant V 54/72 - Shining Fates,DMG,Ultra Rare,Shining Fates,1.2,1,1
Cramorant V 54/72 - Shining Fates,NM/M,Ultra Rare,Shining Fates,3,4,4
Cramorant V Full Art 198/202 - Sword & Shield (Base Set),EX,Ultra Rare,Sword & Shield (Base Set),4.8,1,1
Cramorant V Full Art 198/202 - Sword & Shield (Base Set),GD,Ultra Rare,Sword & Shield (Base Set),4.2,1,1
Cramorant V Full Art 198/202 - Sword & Shield (Base Set),NM/M,Ultra Rare,Sword & Shield (Base Set),6,3,3
Cramorant V Full Art 198/202 - Sword & Shield (Base Set),PL,Ultra Rare,Sword & Shield (Base Set),3,1,1
Cramorant VMAX 55/72 - Shining Fates,EX,Ultra Rare,Shining Fates,2.4,1,1
Cramorant VMAX 55/72 - Shining Fates,NM/M,Ultra Rare,Shining Fates,3,6,6
Cranidos 044 - Pitch Black,NM/M,Common,Pitch Black,1,0,0
Cranidos 044 Reverse Holo - Pitch Black,NM/M,Common,Pitch Black,1.25,0,0
Cranidos 274/307 - SWSH Black Star Promos,NM/M,Promo,SWSH Black Star Promos,1.5,0,0
Cranidos Lv.24 43/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,NM/M,Uncommon,Diamond & Pearl Mysterious Treasures,5.5,0,0
Crasher Wake 104/131 - Sun & Moon Forbidden Light,NM/M,Uncommon,Sun & Moon Forbidden Light,0.75,0,0
Crasher Wake 104/131 Reverse Holo - Sun & Moon Forbidden Light,NM/M,Uncommon,Sun & Moon Forbidden Light,2,1,1
Crasher Wake Full Art 129/131  - Sun & Moon Forbidden Light,EX,Ultra Rare,Sun & Moon Forbidden Light,13.2,2,2
Crasher Wake Full Art 129/131  - Sun & Moon Forbidden Light,GD,Ultra Rare,Sun & Moon Forbidden Light,11.55,1,1
Crasher Wake Full Art 129/131  - Sun & Moon Forbidden Light,NM/M,Ultra Rare,Sun & Moon Forbidden Light,16.5,1,1
Crawdaunt 025/111 Reverse Holo - Sun & Moon Crimson Invasion,NM/M,Rare,Sun & Moon Crimson Invasion,1.5,0,0
Crawdaunt 092/160 Reverse Holo - X&Y Primal Clash,NM/M,Holo Rare,X&Y Primal Clash,3.75,0,0
Crawdaunt 13/097 - EX Dragon,EX,Rare,EX Dragon,2.05,1,1
Crawdaunt 13/097 - EX Dragon,GD,Rare,EX Dragon,1.5,2,2
Crawdaunt 13/097 - EX Dragon,NM/M,Rare,EX Dragon,2.75,1,1
Crawdaunt 13/097 Reverse Holo - EX Dragon,GD,Rare,EX Dragon,3.6,1,1
Crawdaunt 13/097 Reverse Holo - EX Dragon,NM/M,Rare,EX Dragon,6.5,0,0
Crawdaunt 13/097 Reverse Holo - EX Dragon,PL,Rare,EX Dragon,2.3,1,1
Crawdaunt 25/111 - Sun & Moon Crimson Invasion,NM/M,Rare,Sun & Moon Crimson Invasion,1,0,0
Crawdaunt 3/097 - EX Dragon,DMG,Holo Rare,EX Dragon,3.4,4,4
Crawdaunt 3/097 - EX Dragon,EX,Holo Rare,EX Dragon,10.1,2,2
Crawdaunt 3/097 - EX Dragon,GD,Holo Rare,EX Dragon,7.4,3,3
Crawdaunt 3/097 - EX Dragon,LP,Holo Rare,EX Dragon,5.65,4,4
Crawdaunt 3/097 - EX Dragon,NM/M,Holo Rare,EX Dragon,13.5,1,1
Crawdaunt 3/097 - EX Dragon,PL,Holo Rare,EX Dragon,4.7,2,2
Crawdaunt 3/097 Reverse Holo - EX Dragon,GD,Holo Rare,EX Dragon,6.1,2,2
Crawdaunt 3/097 Reverse Holo - EX Dragon,NM/M,Holo Rare,EX Dragon,13.5,0,0
Crawdaunt 6/107 - EX Deoxys,DMG,Holo Rare,EX Deoxys,7,1,1
Crawdaunt 6/107 - EX Deoxys,GD,Holo Rare,EX Deoxys,15.35,1,1
Crawdaunt 6/107 Reverse Holo - EX Deoxys,DMG,Holo Rare,EX Deoxys,15,1,1
Crawdaunt 6/107 Reverse Holo - EX Deoxys,LP,Holo Rare,EX Deoxys,25.2,1,1
Crawdaunt 6/107 Reverse Holo - EX Deoxys,NM/M,Holo Rare,EX Deoxys,59.95,0,0
Crawdaunt 92/160 - X&Y Primal Clash,NM/M,Holo Rare,X&Y Primal Clash,2.75,1,1
Crawdaunt [G] Lv.61 23/147 - Platinum Supreme Victors,EX,Rare,Platinum Supreme Victors,3.75,1,1
Crawdaunt [G] Lv.61 23/147 - Platinum Supreme Victors,NM/M,Rare,Platinum Supreme Victors,5,0,0
Crawdaunt [G] Lv.61 23/147 Reverse Holo - Platinum Supreme Victors,GD,Rare,Platinum Supreme Victors,8.8,1,1
Crawdaunt [G] Lv.61 23/147 Reverse Holo - Platinum Supreme Victors,LP,Rare,Platinum Supreme Victors,7.2,1,1
Crawdaunt [G] Lv.61 23/147 Reverse Holo - Platinum Supreme Victors,NM/M,Rare,Platinum Supreme Victors,16,1,1
Crawdaunt [G] Lv.61 23/147 Reverse Holo - Platinum Supreme Victors,PL,Rare,Platinum Supreme Victors,5.6,1,1
Crawdaunt ex 99/110 - Ex Holon Phantoms,NM/M,Ultra Rare,Ex Holon Phantoms,53.95,0,0
Crawdaunt Lv.32 22/146 - Diamond & Pearl Legends Awakened,NM/M,Rare,Diamond & Pearl Legends Awakened,3.75,0,0
Crawdaunt Lv.32 22/146 Reverse Holo - Diamond & Pearl Legends Awakened,NM/M,Rare,Diamond & Pearl Legends Awakened,5,0,0
Crawdaunt Lv.32 22/146 Reverse Holo - Diamond & Pearl Legends Awakened,PL,Rare,Diamond & Pearl Legends Awakened,1.75,1,1
Cresselia 021/64 - Scarlet & Violet Shrouded Fable,NM/M,Rare,Scarlet & Violet Shrouded Fable,0.5,21,21
Cresselia 021/64 Reverse Holo - Scarlet & Violet Shrouded Fable,NM/M,Rare,Scarlet & Violet Shrouded Fable,0.75,2,2
Cresselia 059/156 - Sun & Moon Ultra Prism,GD,Holo Rare,Sun & Moon Ultra Prism,1.9,1,1
Cresselia 059/156 - Sun & Moon Ultra Prism,NM/M,Holo Rare,Sun & Moon Ultra Prism,2.75,1,1
Cresselia 059/156 Reverse Holo - Sun & Moon Ultra Prism,NM/M,Holo Rare,Sun & Moon Ultra Prism,3.75,0,0
Cresselia 070/162 - X&Y BREAKthrough,NM/M,Rare,X&Y BREAKthrough,1.25,2,2
Cresselia 070/162 Reverse Holo - X&Y BREAKthrough,EX,Rare,X&Y BREAKthrough,4.8,1,1
Cresselia 070/162 Reverse Holo - X&Y BREAKthrough,NM/M,Rare,X&Y BREAKthrough,6,0,0
Cresselia 071/64 - Scarlet & Violet Shrouded Fable,NM/M,Illustration Rare,Scarlet & Violet Shrouded Fable,30.95,0,0
Cresselia 074/196 - Sword & Shield Lost Origin,NM/M,Holo Rare,Sword & Shield Lost Origin,1.5,7,7
Cresselia 074/196 Reverse Holo - Sword & Shield Lost Origin,EX,Holo Rare,Sword & Shield Lost Origin,1,1,1
Cresselia 074/196 Reverse Holo - Sword & Shield Lost Origin,NM/M,Holo Rare,Sword & Shield Lost Origin,1.25,0,0
Cresselia 114/307 - SWSH Black Star Promos,NM/M,Promo,SWSH Black Star Promos,7.5,0,0
Cresselia 64/198 - Sword & Shield Chilling Reign,NM/M,Holo Rare,Sword & Shield Chilling Reign,1.5,1,1
Cresselia 64/198 Reverse Holo - Sword & Shield Chilling Reign,NM/M,Holo Rare,Sword & Shield Chilling Reign,1.5,0,0
Cresselia EX 67/149 - Black & White 7: Boundaries Crossed,DMG,Ultra Rare,Black & White 7: Boundaries Crossed,5.7,1,1
Cresselia EX 67/149 - Black & White 7: Boundaries Crossed,EX,Ultra Rare,Black & White 7: Boundaries Crossed,15.2,1,1
Cresselia EX 67/149 - Black & White 7: Boundaries Crossed,NM/M,Ultra Rare,Black & White 7: Boundaries Crossed,19,0,0
Cresselia EX Full Art 143/149 - Black & White 7: Boundaries Crossed,EX,Ultra Rare,Black & White 7: Boundaries Crossed,68.75,1,1
Cresselia EX Full Art 143/149 - Black & White 7: Boundaries Crossed,NM/M,Ultra Rare,Black & White 7: Boundaries Crossed,85.95,0,0
Cresselia Lv.43 2/100 - Diamond & Pearl Majestic Dawn,GD,Holo Rare,Diamond & Pearl Majestic Dawn,8.5,1,1
Cresselia Lv.43 2/100 - Diamond & Pearl Majestic Dawn,NM/M,Holo Rare,Diamond & Pearl Majestic Dawn,15.5,0,0
Cresselia Lv.43 2/100 - Diamond & Pearl Majestic Dawn,PL,Holo Rare,Diamond & Pearl Majestic Dawn,5.4,2,2
Cresselia Lv.43 2/100 Reverse Holo - Diamond & Pearl Majestic Dawn,DMG,Holo Rare,Diamond & Pearl Majestic Dawn,3.9,1,1
Cresselia Lv.43 2/100 Reverse Holo - Diamond & Pearl Majestic Dawn,EX,Holo Rare,Diamond & Pearl Majestic Dawn,11.6,1,1
Cresselia Lv.43 2/100 Reverse Holo - Diamond & Pearl Majestic Dawn,LP,Holo Rare,Diamond & Pearl Majestic Dawn,7,1,1
Cresselia Lv.43 2/100 Reverse Holo - Diamond & Pearl Majestic Dawn,NM/M,Holo Rare,Diamond & Pearl Majestic Dawn,15.5,0,0
Cresselia Lv.43 2/100 Reverse Holo - Diamond & Pearl Majestic Dawn,PL,Holo Rare,Diamond & Pearl Majestic Dawn,5.4,1,1
Cresselia Lv.48 2/106 - Diamond & Pearl Great Encounters,DMG,Holo Rare,Diamond & Pearl Great Encounters,4,1,1
Cresselia Lv.48 2/106 - Diamond & Pearl Great Encounters,GD,Holo Rare,Diamond & Pearl Great Encounters,8.8,1,1
Cresselia Lv.48 2/106 - Diamond & Pearl Great Encounters,LP,Holo Rare,Diamond & Pearl Great Encounters,7.2,2,2
Cresselia Lv.48 2/106 - Diamond & Pearl Great Encounters,NM/M,Holo Rare,Diamond & Pearl Great Encounters,16,0,0
Cresselia Lv.48 2/106 - Diamond & Pearl Great Encounters,PL,Holo Rare,Diamond & Pearl Great Encounters,5.6,3,3
Cresselia Lv.48 2/106 Reverse Holo - Diamond & Pearl Great Encounters,DMG,Holo Rare,Diamond & Pearl Great Encounters,3.2,1,1
Cresselia Lv.48 2/106 Reverse Holo - Diamond & Pearl Great Encounters,GD,Holo Rare,Diamond & Pearl Great Encounters,6.4,1,1
Cresselia Lv.48 2/106 Reverse Holo - Diamond & Pearl Great Encounters,NM/M,Holo Rare,Diamond & Pearl Great Encounters,15.95,0,0
Cresselia Lv.48 2/106 Reverse Holo - Diamond & Pearl Great Encounters,PL,Holo Rare,Diamond & Pearl Great Encounters,4,1,1
Cresselia Lv.62 51/056 - DP Black Star Promos,DMG,Promo,DP Black Star Promos,3.1,3,3
Cresselia Lv.62 51/056 - DP Black Star Promos,EX,Promo,DP Black Star Promos,9.4,4,4
Cresselia Lv.62 51/056 - DP Black Star Promos,GD,Promo,DP Black Star Promos,6.9,6,6
Cresselia Lv.62 51/056 - DP Black Star Promos,LP,Promo,DP Black Star Promos,5.25,2,2
Cresselia Lv.62 51/056 - DP Black Star Promos,NM/M,Promo,DP Black Star Promos,12.5,1,1
Cresselia Lv.62 51/056 - DP Black Star Promos,PL,Promo,DP Black Star Promos,4.4,2,2
Cresselia LV.X 103/106 - Diamond & Pearl Great Encounters,GD,Ultra Rare,Diamond & Pearl Great Encounters,51.65,1,1
Cresselia LV.X 103/106 - Diamond & Pearl Great Encounters,NM/M,Ultra Rare,Diamond & Pearl Great Encounters,93.95,0,0
Cresselia Secret Rare 228/203 - Sword & Shield Evolving Skies,NM/M,Secret Rare,Sword & Shield Evolving Skies,14.5,1,1
Crispin 105 - Scarlet & Violet Prismatic Evolutions,NM/M,Uncommon,Scarlet & Violet Prismatic Evolutions,1.5,9,9
Crispin 105 Poke Ball Reverse Holo - Scarlet & Violet Prismatic Evolutions: Additionals,NM/M,Uncommon,Scarlet & Violet Prismatic Evolutions: Additionals,2,0,0
Crispin 105 Reverse Holo - Scarlet & Violet Prismatic Evolutions,NM/M,Uncommon,Scarlet & Violet Prismatic Evolutions,2,0,0
Crispin 133/142 - Scarlet & Violet Stellar Crown,EX,Uncommon,Scarlet & Violet Stellar Crown,1.2,3,3
Crispin 133/142 - Scarlet & Violet Stellar Crown,NM/M,Uncommon,Scarlet & Violet Stellar Crown,1.5,15,15
Crispin 133/142 Reverse Holo - Scarlet & Violet Stellar Crown,NM/M,Uncommon,Scarlet & Violet Stellar Crown,1.5,0,0
Crispin 164/142 - Scarlet & Violet Stellar Crown,NM/M,Ultra Rare,Scarlet & Violet Stellar Crown,10,6,6
Crispin 171 - Scarlet & Violet Prismatic Evolutions,NM/M,Special Illustration Rare,Scarlet & Violet Prismatic Evolutions,34.95,0,0
Croagunk 245/307 - SWSH Black Star Promos,NM/M,Promo,SWSH Black Star Promos,0.75,0,0
Croagunk Lv.13 60/100 Reverse Holo - Diamond & Pearl Majestic Dawn,EX,Common,Diamond & Pearl Majestic Dawn,3.75,1,1
Croagunk Lv.13 60/100 Reverse Holo - Diamond & Pearl Majestic Dawn,GD,Common,Diamond & Pearl Majestic Dawn,2.75,1,1
Croagunk Lv.13 60/100 Reverse Holo - Diamond & Pearl Majestic Dawn,NM/M,Common,Diamond & Pearl Majestic Dawn,5,0,0
Croagunk Lv.17 13/017 - POP Series 8,NM/M,Common,POP Series 8,2,0,0
Crobat 033/119 Reverse Holo - X&Y Phantom Forces,EX,Rare,X&Y Phantom Forces,4,1,1
Crobat 033/119 Reverse Holo - X&Y Phantom Forces,GD,Rare,X&Y Phantom Forces,3.5,2,2
Crobat 033/119 Reverse Holo - X&Y Phantom Forces,NM/M,Rare,X&Y Phantom Forces,5,0,0
Crobat 056/149 Reverse Holo - Sun & Moon (Base Set),NM/M,Holo Rare,Sun & Moon (Base Set),2.75,0,0
Crobat 091/163 - Sword & Shield Battle Styles,NM/M,Holo Rare,Sword & Shield Battle Styles,1.5,0,0
Crobat 093 - Chaos Rising,NM/M,Illustration Rare,Chaos Rising,8,14,14
Crobat 105/195 - Sword & Shield Silver Tempest,NM/M,Holo Rare,Sword & Shield Silver Tempest,2,4,4
Crobat 105/195 Reverse Holo - Sword & Shield Silver Tempest,NM/M,Holo Rare,Sword & Shield Silver Tempest,2,0,0
Crobat 14/095 - Unleashed,DMG,Rare,Unleashed,2.7,1,1
Crobat 14/095 - Unleashed,EX,Promo,Unleashed,4.9,1,1
Crobat 14/095 - Unleashed,GD,Rare,Unleashed,5.6,1,1
Crobat 14/095 - Unleashed,NM/M,Rare,Unleashed,9,0,0
Crobat 14/095 - Unleashed,NM/M,Promo,Unleashed,6.5,5,5
Crobat 14/095 - Unleashed,PL,Promo,Unleashed,3,1,1
Crobat 14/095 Reverse Holo - Unleashed,NM/M,Rare,Unleashed,9,0,0
Crobat 147/144 - Skyridge,NM/M,Secret Rare,Skyridge,899.95,0,0
Crobat 3/101 - EX Hidden Legends,DMG,Holo Rare,EX Hidden Legends,6,2,2
Crobat 3/101 - EX Hidden Legends,GD,Holo Rare,EX Hidden Legends,13.2,1,1
Crobat 3/101 - EX Hidden Legends,NM/M,Holo Rare,EX Hidden Legends,24,0,0
Crobat 3/101 Reverse Holo - EX Hidden Legends,DMG,Holo Rare,EX Hidden Legends,6,1,1
Crobat 3/101 Reverse Holo - EX Hidden Legends,NM/M,Holo Rare,EX Hidden Legends,24,0,0
Crobat 33/119 - X&Y Phantom Forces,EX,Rare,X&Y Phantom Forces,1.8,1,1
Crobat 33/119 - X&Y Phantom Forces,NM/M,Rare,X&Y Phantom Forces,2.25,0,0
Crobat 4/064 - Neo Revelation,NM/M,Holo Rare,Neo Revelation,50.95,0,0
Crobat 51/101 - BW Black Star Promos,EX,Promo,BW Black Star Promos,72.7,1,1
Crobat 55/135 - Black & White 8: Plasma Storm,EX,Holo Rare,Black & White 8: Plasma Storm,6,2,2
Crobat 55/135 - Black & White 8: Plasma Storm,GD,Holo Rare,Black & White 8: Plasma Storm,5.25,1,1
Crobat 55/135 - Black & White 8: Plasma Storm,NM/M,Holo Rare,Black & White 8: Plasma Storm,7.5,0,0
Crobat 55/135 Reverse Holo - Black & White 8: Plasma Storm,NM/M,Holo Rare,Black & White 8: Plasma Storm,9,0,0
Crobat 56/149 - Sun & Moon (Base Set),NM/M,Holo Rare,Sun & Moon (Base Set),1.5,1,1
Crobat 6/144 - Skyridge,NM/M,Rare,Skyridge,42.95,0,0
Crobat 6/144 Reverse Holo - Skyridge,NM/M,Rare,Skyridge,70.95,0,0
Crobat 66/214 - Sun & Moon Unbroken Bonds,NM/M,Holo Rare,Sun & Moon Unbroken Bonds,2.75,1,1
Crobat 66/214 Reverse Holo - Sun & Moon Unbroken Bonds,NM/M,Holo Rare,Sun & Moon Unbroken Bonds,3.75,0,0
Crobat 84/095 - Unleashed,DMG,Ultra Rare,Unleashed,80,2,2
Crobat 84/095 - Unleashed,EX,Ultra Rare,Unleashed,139.95,3,3
Crobat 84/095 - Unleashed,GD,Ultra Rare,Unleashed,113.95,1,1
Crobat 84/095 - Unleashed,NM/M,Ultra Rare,Unleashed,199.95,0,0
Crobat [G] Lv.44 47/127 - Platinum,NM/M,Uncommon,Platinum,6.5,0,0
Crobat [G] Lv.44 47/127 - Platinum,PL,Uncommon,Platinum,2.3,1,1
Crobat [G] Lv.44 47/127 Reverse Holo - Platinum,PL,Uncommon,Platinum,8.75,1,1
Crobat [G] Lv.44 PL 47 - 30th Celebration,NM/M,Uncommon,30th Celebration,9,0,0
Crobat BREAK 181/211 - XY Black Star Promos,DMG,Promo,XY Black Star Promos,7.4,1,1
Crobat BREAK 181/211 - XY Black Star Promos,EX,Promo,XY Black Star Promos,14.8,1,1
Crobat BREAK 181/211 - XY Black Star Promos,GD,Promo,XY Black Star Promos,12.95,1,1
Crobat BREAK 181/211 - XY Black Star Promos,LP,Promo,XY Black Star Promos,11.1,1,1
Crobat BREAK 181/211 - XY Black Star Promos,NM/M,Promo,XY Black Star Promos,18.5,1,1
Crobat ex 96/107 - EX Deoxys,NM/M,Ultra Rare,EX Deoxys,246.95,0,0
Crobat H5/144 - Skyridge,NM/M,Holo Rare,Skyridge,420.95,0,0
Crobat Lv.45 23/123 - Diamond & Pearl Mysterious Treasures,LP,Rare,Diamond & Pearl Mysterious Treasures,2.7,1,1
Crobat Lv.45 23/123 - Diamond & Pearl Mysterious Treasures,NM/M,Rare,Diamond & Pearl Mysterious Treasures,6,1,1
Crobat Lv.45 23/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,EX,Rare,Diamond & Pearl Mysterious Treasures,6,2,2
Crobat Lv.45 23/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,LP,Rare,Diamond & Pearl Mysterious Treasures,3.6,1,1
Crobat Lv.45 23/123 Reverse Holo - Diamond & Pearl Mysterious Treasures,NM/M,Rare,Diamond & Pearl Mysterious Treasures,8,0,0
Crobat V 104/189 - Sword & Shield Darkness Ablaze,EX,Ultra Rare,Sword & Shield Darkness Ablaze,2.4,3,3
Crobat V 104/189 - Sword & Shield Darkness Ablaze,NM/M,Ultra Rare,Sword & Shield Darkness Ablaze,3,8,8
Crobat V 44/72 - Shining Fates,NM/M,Ultra Rare,Shining Fates,3,6,6
Crobat V Full Art 182/189 - Sword & Shield Darkness Ablaze,NM/M,Ultra Rare,Sword & Shield Darkness Ablaze,3,3,3
Crobat V Full Art 182/189 - Sword & Shield Darkness Ablaze,PL,Ultra Rare,Sword & Shield Darkness Ablaze,1.5,1,1
Crobat V SWSH098 - Sword & Shield Promos,EX,Ultra Rare,Sword & Shield Promos,3,3,3
Crobat V SWSH098 - Sword & Shield Promos,LP,Ultra Rare,Sword & Shield Promos,2.25,1,1
Crobat V SWSH098 - Sword & Shield Promos,NM/M,Ultra Rare,Sword & Shield Promos,3.75,1,1
Crobat V SWSH110 - Sword & Shield Promos,NM/M,Ultra Rare,Sword & Shield Promos,3,4,4
Crobat V TG20/TG30 - Sword & Shield Lost Origin,DMG,Ultra Rare,Sword & Shield Lost Origin,6.6,2,2
Crobat V TG20/TG30 - Sword & Shield Lost Origin,EX,Ultra Rare,Sword & Shield Lost Origin,13.2,1,1
Crobat V TG20/TG30 - Sword & Shield Lost Origin,GD,Ultra Rare,Sword & Shield Lost Origin,11.55,1,1
Crobat V TG20/TG30 - Sword & Shield Lost Origin,LP,Ultra Rare,Lost Origin,9.9,1,1
Crobat V TG20/TG30 - Sword & Shield Lost Origin,NM/M,Ultra Rare,Sword & Shield Lost Origin,16.5,5,5
Crobat VMAX 45/72 - Shining Fates,DMG,Ultra Rare,Shining Fates,1.2,1,1
Crobat VMAX 45/72 - Shining Fates,EX,Ultra Rare,Shining Fates,2.4,2,2
Crobat VMAX 45/72 - Shining Fates,NM/M,Ultra Rare,Shining Fates,3,6,6
Crobat VMAX 45/72 - Shining Fates,PL,Ultra Rare,Shining Fates,1.5,1,1
Crobat VMAX SWSH099 - Sword & Shield Promos,DMG,Ultra Rare,Sword & Shield Promos,2,1,1
Crobat VMAX SWSH099 - Sword & Shield Promos,NM/M,Ultra Rare,Sword & Shield Promos,5,3,3
Crobat VMAX SWSH099 - Sword & Shield Promos,PL,Ultra Rare,Sword & Shield Promos,2.5,1,1
Crobat δ Delta Species 2/113 - EX Delta Species,DMG,Holo Rare,EX Delta Species,5.55,1,1
Crobat δ Delta Species 2/113 - EX Delta Species,GD,Holo Rare,EX Delta Species,11.75,3,3
Crobat δ Delta Species 2/113 - EX Delta Species,LP,Holo Rare,EX Delta Species,9.3,3,3
Crobat δ Delta Species 2/113 - EX Delta Species,NM/M,Holo Rare,EX Delta Species,30.95,0,0
Crobat δ Delta Species 2/113 - EX Delta Species,PL,Holo Rare,EX Delta Species,10.85,1,1
Crobat δ Delta Species 2/113 Reverse Holo - EX Delta Species,NM/M,Holo Rare,EX Delta Species,57.5,0,0
Crocalor 024/182 Reverse Holo - Scarlet & Violet Paradox Rift,NM/M,Uncommon,Scarlet & Violet Paradox Rift,1.5,1,1
Crocalor 030/191 Reverse Holo - Scarlet & Violet Surging Sparks,NM/M,Common,Scarlet & Violet Surging Sparks,1,0,0
Crocalor 036/193 Reverse Holo - Scarlet & Violet Paldea Evolved,NM/M,Uncommon,Scarlet & Violet Paldea Evolved,1,1,1
Crocalor 202/193 - Scarlet & Violet Paldea Evolved,NM/M,Illustration Rare,Scarlet & Violet Paldea Evolved,13.5,0,0
Crocalor SVP080 - Scarlet & Violet Promos,NM/M,Holo Promo,Scarlet & Violet Promos,1.5,0,0
Croconaw 016/119 - X&Y Phantom Forces,NM/M,Uncommon,X&Y Phantom Forces,0.75,0,0
Croconaw 016/119 Reverse Holo - X&Y Phantom Forces,NM/M,Uncommon,X&Y Phantom Forces,6.5,1,1
Croconaw 019/073 - Sun & Moon Shining Legends,NM/M,Common,Sun & Moon Shining Legends,1.75,0,0
Croconaw 019/073 Reverse Holo - Sun & Moon Shining Legends,NM/M,Common,Sun & Moon Shining Legends,3.5,0,0
Croconaw 023/070 Reverse Holo - Sun & Moon Dragon Majesty,NM/M,Uncommon,Sun & Moon Dragon Majesty,5,1,1
Croconaw 040/162 Reverse Holo - Scarlet & Violet Temporal Forces,NM/M,Common,Scarlet & Violet Temporal Forces,1,0,0
Croconaw 042 Ball Pattern Reverse Holo - Ascended Heroes,NM/M,Uncommon,Ascended Heroes,1,0,0
Croconaw 042 Energy Pattern Reverse Holo - Ascended Heroes,NM/M,Uncommon,Ascended Heroes,1.5,0,0
Croconaw 056/264 - Sword & Shield Fusion Strike,NM/M,Uncommon,Sword & Shield Fusion Strike,1,0,0
Croconaw 31/111 - Neo Genesis,EX,Uncommon,Neo Genesis,4.5,1,1
Croconaw 31/111 - Neo Genesis,NM/M,Uncommon,Neo Genesis,6,0,0
Croconaw 31/111 1st Edition - Neo Genesis,NM/M,Uncommon,Neo Genesis,6.5,0,0
Croconaw 32/111 - Neo Genesis,EX,Uncommon,Neo Genesis,2.05,1,1
Croconaw 32/111 - Neo Genesis,NM/M,Uncommon,Neo Genesis,2.75,0,0
Croconaw 32/111 1st Edition - Neo Genesis,NM/M,Uncommon,Neo Genesis,6,0,0
Croconaw 38/115 - EX Unseen Forces,NM/M,Uncommon,EX Unseen Forces,1.5,0,0
Croconaw 38/115 Reverse Holo - EX Unseen Forces,NM/M,Uncommon,EX Unseen Forces,37.95,0,0
Croconaw 38/123 - HeartGold & SoulSilver,GD,Uncommon,HeartGold & SoulSilver,2.3,1,1
Croconaw 38/123 - HeartGold & SoulSilver,LP,Uncommon,HeartGold & SoulSilver,2,1,1
Croconaw 38/123 - HeartGold & SoulSilver,NM/M,Uncommon,HeartGold & SoulSilver,3.75,0,0
